main_key,dayofweek,origin_period,origin,origin_name,duration,arrival_time,destination,destination_name,load_factor,tomorrow?,minimal_n_departures,total_penumpang,maximal_load_factor
BBT-BKSOC,Friday,2023-11-10 15:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 17:00:00,BKSOC,BEKASI BEBEK OCEN,55.93434343434343,0 days,1.0,6.0,55.93434343434343
BBT-BKSOC,Friday,2023-11-10 16:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 18:00:00,BKSOC,BEKASI BEBEK OCEN,70.0,0 days,1.0,7.0,70.0
BBT-BKSOC,Friday,2023-11-10 17:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 19:00:00,BKSOC,BEKASI BEBEK OCEN,85.38401253918495,0 days,1.0,24.0,85.38401253918495
BBT-BKSOC,Friday,2023-11-10 18:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 20:00:00,BKSOC,BEKASI BEBEK OCEN,37.5,0 days,1.0,3.0,37.5
BBT-BKSOC,Friday,2023-11-10 19:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 21:00:00,BKSOC,BEKASI BEBEK OCEN,76.875,0 days,1.0,7.5,76.875
BBT-BKSOC,Friday,2023-11-10 20:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 22:00:00,BKSOC,BEKASI BEBEK OCEN,60.833333333333336,0 days,1.0,4.0,60.833333333333336
BBT-BKSOC,Friday,2023-11-10 21:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 23:00:00,BKSOC,BEKASI BEBEK OCEN,63.333333333333336,0 days,1.0,6.0,63.333333333333336
BBT-BKSOC,Monday,2023-11-10 05:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 07:00:00,BKSOC,BEKASI BEBEK OCEN,51.81121560431905,0 days,1.0,8.0,51.81121560431905
BBT-BKSOC,Monday,2023-11-10 10:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 12:00:00,BKSOC,BEKASI BEBEK OCEN,10.0,0 days,1.0,1.0,10.0
BBT-BKSOC,Monday,2023-11-10 13:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 15:00:00,BKSOC,BEKASI BEBEK OCEN,53.68421052631579,0 days,1.0,5.0,53.68421052631579
BBT-BKSOC,Monday,2023-11-10 15:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 17:00:00,BKSOC,BEKASI BEBEK OCEN,60.0,0 days,1.0,6.0,60.0
BBT-BKSOC,Monday,2023-11-10 16:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 18:00:00,BKSOC,BEKASI BEBEK OCEN,12.5,0 days,1.0,1.0,12.5
BBT-BKSOC,Saturday,2023-11-10 09:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 11:00:00,BKSOC,BEKASI BEBEK OCEN,60.0,0 days,1.0,6.0,60.0
BBT-BKSOC,Saturday,2023-11-10 10:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 12:00:00,BKSOC,BEKASI BEBEK OCEN,68.75,0 days,1.0,5.5,68.75
BBT-BKSOC,Saturday,2023-11-10 13:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 15:00:00,BKSOC,BEKASI BEBEK OCEN,55.26315789473684,0 days,1.0,5.0,55.26315789473684
BBT-BKSOC,Saturday,2023-11-10 15:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 17:00:00,BKSOC,BEKASI BEBEK OCEN,37.5,0 days,1.0,3.0,37.5
BBT-BKSOC,Saturday,2023-11-10 19:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 21:00:00,BKSOC,BEKASI BEBEK OCEN,40.0,0 days,1.0,4.0,40.0
BBT-BKSOC,Saturday,2023-11-10 20:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 22:00:00,BKSOC,BEKASI BEBEK OCEN,12.5,0 days,1.0,1.0,12.5
BBT-BKSOC,Sunday,2023-11-10 08:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 10:00:00,BKSOC,BEKASI BEBEK OCEN,6.724137931034482,0 days,1.0,1.0,6.724137931034482
BBT-BKSOC,Sunday,2023-11-10 10:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 12:00:00,BKSOC,BEKASI BEBEK OCEN,25.0,0 days,1.0,2.0,25.0
BBT-BKSOC,Sunday,2023-11-10 11:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 13:00:00,BKSOC,BEKASI BEBEK OCEN,43.5,0 days,1.0,3.0,43.5
